 	trait0	trait1	trait2	trait3	trait4	trait5	trait6	trait7
trait0	1.56949	-0.871391	-0.0433953	-1.61874	-1.89123	4.31321	0.0738504	0.991263
trait1	-0.871391	0.868429	0.296385	1.28629	1.14164	-2.97574	-0.12895	-0.610005
trait2	-0.0433953	0.296385	0.546209	0.444005	0.0302397	-0.744449	-0.00230339	0.145367
trait3	-1.61874	1.28629	0.444005	2.43975	2.166	-5.40351	-0.102844	-1.0519
trait4	-1.89123	1.14164	0.0302397	2.166	2.57545	-5.52787	-0.102572	-1.34739
trait5	4.31321	-2.97574	-0.744449	-5.40351	-5.52787	13.33	0.215964	2.74679
trait6	0.0738504	-0.12895	-0.00230339	-0.102844	-0.102572	0.215964	0.228398	0.176578
trait7	0.991263	-0.610005	0.145367	-1.0519	-1.34739	2.74679	0.176578	0.998541
