 	trait0	trait1	trait2	trait3	trait4	trait5	trait6	trait7
trait0	0.361004	-0.0205344	0.125923	-0.0352244	0.0624196	-0.0931636	0.00730645	0.0564812
trait1	-0.0205344	0.103641	-0.00827761	-0.0298868	-0.0119953	-0.0111441	-0.0261052	0.0118486
trait2	0.125923	-0.00827761	0.130681	-0.0214334	0.019327	-0.0117432	-0.0320735	0.0521787
trait3	-0.0352244	-0.0298868	-0.0214334	0.402739	0.165634	0.0564183	0.100111	-0.195886
trait4	0.0624196	-0.0119953	0.019327	0.165634	0.335352	-0.106145	0.146887	-0.255943
trait5	-0.0931636	-0.0111441	-0.0117432	0.0564183	-0.106145	0.135492	-0.0551668	0.0769047
trait6	0.00730645	-0.0261052	-0.0320735	0.100111	0.146887	-0.0551668	0.243808	-0.197801
trait7	0.0564812	0.0118486	0.0521787	-0.195886	-0.255943	0.0769047	-0.197801	0.410811
