 	trait0	trait1	trait2	trait3	trait4	trait5	trait6	trait7
trait0	2.8205	-2.95939	-3.3446	2.82114	-1.07945	-3.16068	-0.631673	-1.00116
trait1	-2.95939	3.27236	3.64795	-3.02103	1.1347	3.42323	0.769188	1.12888
trait2	-3.3446	3.64795	4.35401	-3.47636	1.29949	3.96467	0.810991	1.15998
trait3	2.82114	-3.02103	-3.47636	3.09938	-1.11072	-3.25117	-0.682428	-1.14259
trait4	-1.07945	1.1347	1.29949	-1.11072	0.574102	1.20882	0.1561	0.381606
trait5	-3.16068	3.42323	3.96467	-3.25117	1.20882	3.77617	0.755214	1.17466
trait6	-0.631673	0.769188	0.810991	-0.682428	0.1561	0.755214	0.407644	0.320362
trait7	-1.00116	1.12888	1.15998	-1.14259	0.381606	1.17466	0.320362	0.65215
