 	trait0	trait1	trait2	trait3	trait4	trait5	trait6	trait7
trait0	0.531198	0.0824117	-0.067017	0.168007	0.104332	-0.0279831	0.376182	0.3203
trait1	0.0824117	0.339727	0.0376751	0.0853325	-0.152214	-0.00555709	-0.0480113	-0.0895993
trait2	-0.067017	0.0376751	0.193035	0.0389518	-0.103379	0.0376912	-0.164665	-0.157406
trait3	0.168007	0.0853325	0.0389518	0.441445	-0.0939514	-0.0783663	-0.022	-0.0931808
trait4	0.104332	-0.152214	-0.103379	-0.0939514	0.258863	-0.00072567	0.193804	0.232488
trait5	-0.0279831	-0.00555709	0.0376912	-0.0783663	-0.00072567	0.191933	-0.0676528	0.0466752
trait6	0.376182	-0.0480113	-0.164665	-0.022	0.193804	-0.0676528	0.535097	0.384783
trait7	0.3203	-0.0895993	-0.157406	-0.0931808	0.232488	0.0466752	0.384783	0.479389
