 	trait0	trait1	trait2	trait3	trait4	trait5	trait6	trait7
trait0	0.902536	0.285123	-0.393254	0.0861537	0.212663	0.12632	-0.404166	-0.368559
trait1	0.285123	0.212104	-0.244504	0.0612939	0.0936036	0.0514347	-0.224553	-0.0896962
trait2	-0.393254	-0.244504	0.525075	0.0440962	-0.214607	0.00385798	0.313406	0.266512
trait3	0.0861537	0.0612939	0.0440962	0.288734	-0.0300743	0.197101	-0.125729	0.20031
trait4	0.212663	0.0936036	-0.214607	-0.0300743	0.171984	0.0205016	-0.135703	-0.135193
trait5	0.12632	0.0514347	0.00385798	0.197101	0.0205016	0.318543	-0.123396	0.138975
trait6	-0.404166	-0.224553	0.313406	-0.125729	-0.135703	-0.123396	0.36789	0.114313
trait7	-0.368559	-0.0896962	0.266512	0.20031	-0.135193	0.138975	0.114313	0.462624
