Taxon,Tooth,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 
Pongo_pygmaeus,LC,NA,NA,NA,11.25592417,13.62559242,16.58767773,13.62559242,10.07109005
Pongo_pygmaeus,LC,NA,NA,NA,NA,NA,NA,16.74480911,13.39584729
Pongo_pygmaeus,LC,NA,NA,NA,14.36781609,14.36781609,NA,NA,NA
Pongo_pygmaeus,LC,NA,NA,15.1269584,13.50621286,12.96596434,13.50621286,12.96596434,14.04646137
Pongo_pygmaeus,LC,11.45038168,11.45038168,14.63104326,15.90330789,NA,NA,NA,NA
Pongo_pygmaeus,LC,NA,NA,NA,21.65087957,22.32746955,25.0338295,18.94451962,NA
Pongo_pygmaeus,LC,13.48617667,10.78894134,18.2063385,16.85772084,16.85772084,17.53202967,14.1604855,16.85772084
Pongo_pygmaeus,LC,17.09401709,13.67521368,15.38461538,14.52991453,14.1025641,15.81196581,15.38461538,17.94871795
Pongo_pygmaeus,LC,13.49693252,14.11042945,16.56441718,17.79141104,21.47239264,20.24539877,19.01840491,15.33742331
Pongo_pygmaeus,LC,NA,NA,NA,15.45064378,14.16309013,16.30901288,NA,NA
Pan_troglodytes,LC,14.76578411,12.72912424,14.76578411,16.29327902,16.80244399,16.29327902,14.25661914,12.21995927
Pan_troglodytes,LC,17.91044776,19.70149254,17.91044776,17.91044776,18.50746269,17.31343284,15.52238806,16.11940299
Pan_troglodytes,LC,17.76900296,17.27541955,17.27541955,20.23692004,18.26258638,17.76900296,14.80750247,12.33958539
Pan_troglodytes,LC,NA,NA,16.66666667,14.39393939,18.18181818,17.42424242,16.66666667,10.60606061
Pan_troglodytes,LC,16.58536585,17.56097561,18.53658537,18.04878049,16.58536585,17.07317073,16.09756098,12.68292683
Pan_troglodytes,LC,18.18181818,18.18181818,21.41414141,17.77777778,15.35353535,12.12121212,8.080808081,10.50505051
Pan_troglodytes,LC,18.85902876,16.03017445,16.97312588,16.03017445,16.03017445,12.72984441,13.20132013,13.67279585
Pan_troglodytes,LC,NA,NA,18.63354037,20.49689441,16.77018634,22.36024845,18.63354037,NA
Homo_sapiens,LC,12.02749141,14.604811,17.18213058,18.04123711,23.19587629,30.06872852,29.20962199,27.49140893
Homo_sapiens,LC,9.849790692,13.13305426,17.23713371,16.41631782,18.87876549,25.44529262,27.90774029,31.19100386
Homo_sapiens,LC,10.45010077,11.19653654,14.18227961,14.92871538,18.66089423,22.39307308,26.87168769,18.66089423
Homo_sapiens,LC,9.811320755,13.58490566,15.09433962,19.62264151,26.41509434,32.45283019,29.43396226,24.90566038
Homo_sapiens,LC,11.02434543,12.86173633,14.69912724,15.61782269,17.4552136,21.12999541,22.04869086,16.53651814
Homo_sapiens,LC,9.67969025,12.31960577,15.83949314,18.47940866,23.7592397,23.7592397,29.03907075,21.11932418
Homo_sapiens,LC,11.51711863,14.65815098,14.65815098,18.84619412,20.94021568,19.8932049,17.79918333,20.94021568
Homo_sapiens,LC,10.87251971,12.68460632,16.30877956,21.74503941,23.55712603,26.27525596,28.99338588,23.55712603
Homo_sapiens,LC,11.83108846,12.74117219,11.83108846,19.11175828,26.3924281,26.3924281,25.48234438,14.56133964
Homo_sapiens,LC,10.78651685,10.78651685,11.68539326,14.38202247,16.17977528,16.17977528,19.7752809,14.38202247
Homo_sapiens,LC,8.365089692,8.365089692,9.294544103,12.08290733,15.80072497,16.73017938,16.73017938,15.80072497
Homo_sapiens,LC,9.675858732,17.41654572,19.35171746,21.28688921,24.18964683,29.99516207,30.96274794,28.05999032
Homo_sapiens,LC,13.57466063,13.57466063,13.57466063,19.00452489,21.71945701,21.71945701,20.81447964,21.71945701
Homo_sapiens,LC,9.611277232,9.611277232,16.01879539,20.29047416,22.42631354,21.35839385,24.56215293,23.49423323
Homo_sapiens,LC,11.03752759,9.933774834,11.03752759,14.34878587,17.66004415,24.28256071,28.69757174,28.69757174
Homo_sapiens,LC,10.38421599,13.2162749,16.99235344,18.88039271,20.76843198,25.48853016,27.37656943,31.15264798
Homo_sapiens,LC,9.361348034,12.48179738,15.60224672,17.68254629,17.68254629,17.68254629,17.68254629,15.60224672
Homo_sapiens,LC,10.17105871,12.94498382,13.86962552,13.86962552,16.64355062,16.64355062,15.71890892,13.86962552
Homo_sapiens,LC,13.02446739,12.09414829,14.88510559,17.67606289,17.67606289,17.67606289,18.60638199,16.74574379
Homo_sapiens,LC,11.76093232,11.76093232,12.83010799,12.83010799,22.45268898,23.52186464,25.66021597,19.24516198
Homo_sapiens,LC,11.23174841,12.47972045,12.47972045,12.47972045,16.22363659,18.71958068,24.95944091,27.455385
Neanderthal,LC,10.47619048,13.33333333,14.28571429,14.28571429,16.19047619,16.19047619,15.23809524,15.23809524
Neanderthal,LC,9.917355372,9.917355372,9.917355372,10.74380165,15.70247934,14.87603306,15.70247934,16.52892562
Neanderthal,LC,10.43478261,11.30434783,11.30434783,14.7826087,14.7826087,14.7826087,16.52173913,16.52173913
Neanderthal,LC,10.83333333,13.33333333,13.33333333,15,15,16.66666667,15,13.33333333
Neanderthal,LC,10.19607843,10.98039216,10.19607843,12.54901961,14.11764706,16.47058824,18.03921569,19.60784314
Neanderthal,LC,9.558823529,9.558823529,13.97058824,15.44117647,16.17647059,16.17647059,16.17647059,8.823529412
Neanderthal,LC,11.62790698,12.40310078,13.95348837,14.72868217,17.05426357,17.82945736,20.15503876,16.27906977
Pan_paniscus,UI2,17.19197708,19.10219675,21.01241643,24.83285578,24.83285578,26.74307545,28.65329513,22.9226361
Pan_paniscus,UI2,16.11278953,17.11983887,20.14098691,23.16213494,22.1550856,23.16213494,24.16918429,21.14803625
Pan_troglodytes,UI2,NA,19.20089659,18.24085176,20.16094142,24.00112073,18.24085176,19.20089659,NA
Pan_troglodytes,UI2,16.10169492,16.10169492,18.6440678,19.49152542,21.18644068,23.72881356,18.6440678,13.55932203
Pan_troglodytes,UI2,16.57940663,16.57940663,17.45200698,15.70680628,20.06980803,14.83420593,14.83420593,13.08900524
Pan_troglodytes,UI2,15.08801341,15.08801341,15.92623638,16.76445935,15.08801341,16.76445935,12.57334451,14.24979044
Pan_troglodytes,UI2,12.45421245,16.11721612,17.58241758,19.04761905,16.84981685,14.65201465,14.65201465,15.38461538
Pan_troglodytes,UI2,14.29848079,22.34137623,19.66041108,19.66041108,22.34137623,18.76675603,17.87310098,14.29848079
Homo_sapiens,UI2,9.523809524,10.47619048,10.47619048,12.38095238,12.38095238,14.28571429,16.19047619,16.19047619
Homo_sapiens,UI2,8.992805755,8.992805755,9.892086331,11.69064748,11.69064748,13.48920863,15.28776978,17.08633094
Homo_sapiens,UI2,11.44640999,13.52757544,14.56815817,15.60874089,15.60874089,16.64932362,22.89281998,26.01456816
Homo_sapiens,UI2,9.708737864,13.59223301,15.53398058,13.59223301,18.44660194,26.21359223,32.03883495,34.95145631
Homo_sapiens,UI2,9.259259259,10.28806584,10.28806584,11.31687243,12.34567901,21.60493827,20.57613169,20.57613169
Homo_sapiens,UI2,8.064516129,9.072580645,12.09677419,11.08870968,20.16129032,15.12096774,23.18548387,31.25
Homo_sapiens,UI2,10.54574216,10.54574216,13.1821777,15.81861323,19.77326654,18.45504877,23.72791985,18.45504877
Homo_sapiens,UI2,6.979990693,8.143322476,9.306654258,10.46998604,13.95998139,17.44997673,22.10330386,22.10330386
Homo_sapiens,UI2,5.797101449,8.695652174,13.04347826,11.5942029,15.94202899,17.39130435,21.73913043,21.73913043
Homo_sapiens,UI2,6.051698798,7.780755598,8.645283998,10.3743408,11.2388692,12.1033976,14.6969828,11.2388692
Homo_sapiens,UI2,8.983829108,9.982032342,12.97664204,14.97304851,12.97664204,18.96586145,19.96406468,16.96945498
Homo_sapiens,UI2,8.71586287,10.65272129,12.5895797,14.52643812,14.52643812,15.49486733,17.43172574,16.46329653
Homo_sapiens,UI2,6.686407489,8.596809628,8.596809628,10.50721177,12.41761391,12.41761391,13.37281498,12.41761391
Homo_sapiens,UI2,6.452207577,7.373951516,10.13918333,11.06092727,15.66964697,16.59139091,18.43487879,16.59139091
Homo_sapiens,UI2,6.588235294,6.588235294,13.17647059,13.17647059,16,17.88235294,20.70588235,16.94117647
Homo_sapiens,UI2,9.025270758,10.02807862,11.03088648,13.03650221,14.03931007,17.04773365,26.07300441,23.06458083
Homo_sapiens,UI2,11.62283888,11.62283888,10.16998402,18.88711318,14.5285486,17.43425832,20.33996804,23.24567776
Homo_sapiens,UI2,8.605851979,10.51826353,12.43067508,18.16790973,19.12411551,19.12411551,22.94893861,19.12411551
Homo_sapiens,UI2,7.701193685,7.701193685,11.55179053,14.43973816,14.43973816,23.10358106,26.9541779,26.9541779
Homo_sapiens,UI2,8.473678636,9.532888465,11.65130812,11.65130812,14.82893761,20.12498676,22.24340642,19.06577693
Homo_sapiens,UI2,8.150697337,10.86759645,11.77322949,12.67886252,14.4901286,16.30139467,19.01829379,19.01829379
Homo_sapiens,UI2,7.590132827,9.487666034,13.28273245,15.18026565,17.07779886,18.97533207,24.66793169,18.97533207
Homo_sapiens,UI2,8.508224617,9.453582908,11.34429949,14.18037436,16.07109094,17.96180753,17.96180753,17.01644923
Homo_sapiens,UI2,10.68050046,12.20628624,15.2578578,16.78364358,19.83521514,22.8867867,22.8867867,19.83521514
Homo_sapiens,UI2,9.831460674,11.23595506,12.64044944,15.4494382,19.66292135,19.66292135,18.25842697,21.06741573
Homo_sapiens,UI2,10.23391813,13.15789474,17.54385965,16.08187135,17.54385965,21.92982456,33.62573099,24.85380117
Homo_sapiens,UI2,7.951653944,12.72264631,17.49363868,17.49363868,15.90330789,25.44529262,28.6259542,28.6259542
Homo_sapiens,UI2,12.00480192,12.00480192,15.0060024,18.00720288,21.00840336,18.00720288,22.5090036,22.5090036
Homo_sapiens,UI2,13.28413284,16.23616236,19.18819188,20.66420664,20.66420664,22.1402214,33.94833948,23.61623616
Homo_sapiens,UI2,10.17146178,13.07759372,15.98372566,20.34292357,23.24905551,29.06131938,34.87358326,27.60825341
Homo_sapiens,UI2,11.22754491,11.22754491,12.4750499,16.21756487,16.21756487,16.21756487,14.97005988,14.97005988
Homo_sapiens,UI2,11.82033097,11.82033097,13.29787234,16.25295508,16.25295508,20.6855792,23.64066194,20.6855792
Homo_sapiens,UI2,12.25156548,12.25156548,12.25156548,14.97413558,14.97413558,19.05799074,17.69670569,21.78056085
Homo_sapiens,UI2,9.043927649,11.62790698,14.2118863,18.0878553,20.67183463,25.83979328,31.00775194,24.54780362
Homo_sapiens,UI2,9.425070688,12.11794803,14.81082537,16.15726404,17.50370271,17.50370271,21.54301872,21.54301872
Homo_sapiens,UI2,10.46983379,11.77856302,13.08729224,18.32220913,20.93966758,23.55712603,28.79204293,22.24839681
Homo_sapiens,UI2,9.159905784,13.08557969,15.70269563,20.93692751,22.24548548,31.40539126,36.63962314,31.40539126
Homo_sapiens,UI2,11.73402868,11.73402868,13.03780965,15.64537158,15.64537158,18.25293351,20.86049544,18.25293351
Homo_sapiens,UI2,10.56214059,16.42999648,16.42999648,17.60356766,22.29785236,24.64499472,25.8185659,26.99213707
Homo_sapiens,UI2,7.949915532,7.949915532,8.943654974,9.937394415,11.9248733,15.89983106,16.89357051,13.91235218
Neanderthal,UI2,NA,NA,NA,14.5631068,14.5631068,12.62135922,16.50485437,14.5631068
Neanderthal,UI2,10.18518519,11.11111111,12.03703704,12.03703704,14.81481481,13.88888889,16.66666667,17.59259259
Neanderthal,UI2,9.381663113,9.381663113,11.08742004,11.94029851,13.64605544,14.4989339,13.64605544,16.20469083
Neanderthal,UI2,10.07751938,10.07751938,10.07751938,12.40310078,11.62790698,11.62790698,11.62790698,17.82945736
Neanderthal,UI2,10.61946903,12.38938053,13.27433628,13.27433628,13.27433628,14.15929204,15.04424779,17.69911504
Neanderthal,UI2,10.57692308,10.57692308,13.46153846,16.34615385,17.30769231,16.34615385,17.30769231,19.23076923
Neanderthal,UI2,9.401709402,9.401709402,11.96581197,11.96581197,12.82051282,16.23931624,17.09401709,17.09401709
Neanderthal,UI2,9.565217391,11.30434783,13.04347826,14.7826087,16.52173913,14.7826087,15.65217391,17.39130435
Neanderthal,UI2,8.73015873,11.11111111,11.9047619,13.49206349,16.66666667,11.9047619,15.87301587,16.66666667
