genus,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical),Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical)
Pongo_abelii,NA,10.01669449,11.68614357,12.79910963,13.35559265,13.91207568,15.58152476,15.58152476,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_abelii,10.1010101,14.35406699,14.35406699,14.8856991,15.94896332,17.01222754,17.54385965,15.41733121,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_abelii,11.47540984,13.93442623,13.52459016,13.52459016,14.3442623,14.3442623,13.52459016,13.52459016,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_abelii,11.10685561,12.25584067,12.6388357,11.87284565,11.87284565,10.34086557,9.191880506,11.48985063,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,20.38216561,21.01910828,24.20382166,24.20382166,21.65605096,19.10828025,17.8343949,18.47133758,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,25.8126195,21.98852772,22.94455067,25.8126195,23.90057361,25.8126195,22.94455067,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,15.61065197,17.44719927,21.12029385,24.79338843,22.95684114,NA,20.2020202,18.36547291,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,NA,23.01410542,23.01410542,20.78693393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,26.1732852,21.66064982,23.46570397,30.68592058,NA,NA,NA,26.1732852,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,NA,NA,NA,NA,17.82945736,17.05426357,19.37984496,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,21.22641509,25.94339623,22.01257862,25.1572327,22.01257862,22.79874214,24.37106918,20.44025157,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,20.85143354,21.72024327,NA,NA,NA,25.19548219,22.589053,20.85143354,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,NA,NA,21.73913043,24.45652174,28.98550725,NA,24.45652174,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,24.2669363,23.25581395,23.25581395,23.25581395,21.23356926,21.23356926,25.27805865,21.23356926,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,21.1780278,25.14890801,22.50165453,25.81072138,27.13434811,23.82528127,23.82528127,19.19258769,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,19.02587519,23.59208524,21.30898021,18.26484018,22.07001522,23.59208524,21.30898021,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,16.64254703,22.43125904,23.87843705,NA,NA,NA,NA,17.36613603,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,23.49256069,21.92638998,22.70947533,21.92638998,21.92638998,21.92638998,21.14330462,22.70947533,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,24.29467085,NA,NA,NA,NA,NA,14.89028213,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,NA,30.94233474,30.23909986,31.64556962,26.01969058,21.80028129,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,19.6969697,19.6969697,22.72727273,22.72727273,24.24242424,19.6969697,16.66666667,13.63636364,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,NA,NA,NA,NA,15.57285873,NA,15.57285873,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,12.26666667,14.4,16.53333333,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,NA,NA,15.97938144,16.49484536,18.04123711,NA,14.94845361,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,NA,NA,NA,11.25592417,13.62559242,16.58767773,13.62559242,10.07109005,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,NA,NA,NA,NA,NA,NA,16.74480911,13.39584729,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,NA,NA,NA,14.36781609,14.36781609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,NA,NA,15.1269584,13.50621286,12.96596434,13.50621286,12.96596434,14.04646137,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,11.45038168,11.45038168,14.63104326,15.90330789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,NA,NA,NA,21.65087957,22.32746955,25.0338295,18.94451962,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,13.48617667,10.78894134,18.2063385,16.85772084,16.85772084,17.53202967,14.1604855,16.85772084,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,17.09401709,13.67521368,15.38461538,14.52991453,14.1025641,15.81196581,15.38461538,17.94871795,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,13.49693252,14.11042945,16.56441718,17.79141104,21.47239264,20.24539877,19.01840491,15.33742331,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,NA,NA,NA,15.45064378,14.16309013,16.30901288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan_troglodytes,14.76578411,12.72912424,14.76578411,16.29327902,16.80244399,16.29327902,14.25661914,12.21995927,NA,NA,NA,NA,NA,NA,NA,NA
Pan_troglodytes,17.91044776,19.70149254,17.91044776,17.91044776,18.50746269,17.31343284,15.52238806,16.11940299,NA,NA,NA,NA,NA,NA,NA,NA
Pan_troglodytes,17.76900296,17.27541955,17.27541955,20.23692004,18.26258638,17.76900296,14.80750247,12.33958539,NA,NA,NA,NA,NA,NA,NA,NA
Pan_troglodytes,NA,NA,16.66666667,14.39393939,18.18181818,17.42424242,16.66666667,10.60606061,NA,NA,NA,NA,NA,NA,NA,NA
Pan_troglodytes,16.58536585,17.56097561,18.53658537,18.04878049,16.58536585,17.07317073,16.09756098,12.68292683,NA,NA,NA,NA,NA,NA,NA,NA
Pan_troglodytes,18.18181818,18.18181818,21.41414141,17.77777778,15.35353535,12.12121212,8.080808081,10.50505051,NA,NA,NA,NA,NA,NA,NA,NA
Pan_troglodytes,18.85902876,16.03017445,16.97312588,16.03017445,16.03017445,12.72984441,13.20132013,13.67279585,NA,NA,NA,NA,NA,NA,NA,NA
Pan_troglodytes,NA,NA,18.63354037,20.49689441,16.77018634,22.36024845,18.63354037,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,12.02749141,14.604811,17.18213058,18.04123711,23.19587629,30.06872852,29.20962199,27.49140893,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,9.849790692,13.13305426,17.23713371,16.41631782,18.87876549,25.44529262,27.90774029,31.19100386,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,10.45010077,11.19653654,14.18227961,14.92871538,18.66089423,22.39307308,26.87168769,18.66089423,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,9.811320755,13.58490566,15.09433962,19.62264151,26.41509434,32.45283019,29.43396226,24.90566038,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,11.02434543,12.86173633,14.69912724,15.61782269,17.4552136,21.12999541,22.04869086,16.53651814,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,9.67969025,12.31960577,15.83949314,18.47940866,23.7592397,23.7592397,29.03907075,21.11932418,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,11.51711863,14.65815098,14.65815098,18.84619412,20.94021568,19.8932049,17.79918333,20.94021568,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,10.87251971,12.68460632,16.30877956,21.74503941,23.55712603,26.27525596,28.99338588,23.55712603,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,11.83108846,12.74117219,11.83108846,19.11175828,26.3924281,26.3924281,25.48234438,14.56133964,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,10.78651685,10.78651685,11.68539326,14.38202247,16.17977528,16.17977528,19.7752809,14.38202247,NA,NA,NA,NA,NA,NA,NA,NA
