genus,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical)
Pan_paniscus,16.65238331,18.11101781,20.57670167,23.99749536,23.49397069,24.9526052,26.41123971,22.03533618
Pan_troglodytes,14.90436164,17.57143398,17.91766526,18.47196043,19.92276266,17.83118355,16.29627174,14.11624278
Homo_sapiens,9.281917412,10.85463756,12.87772037,14.88399098,16.60696201,19.40968112,22.87865174,21.24766912
Neanderthal,9.817230665,10.66922069,12.10648792,13.42272416,14.5825368,14.0076913,15.49073671,17.14130222
